location,scenario,algorithm,expected_total_sec,expected_drive_sec,expected_walk_sec,expected_exit_sec,expected_cross_sec,success_probability,runtime_ms,chain_length,status
Set 6: E-S,Taxi (5-10m),Heuristic,1344.73,762.17,85.13,486.18,11.25,0.75,5901.1,2,success
Set 6: E-S,Delivery (1-4m),MDP_Difference,1367.03,784.47,85.13,486.18,11.25,0.75,5839.8,2,success
Set 6: E-S,Delivery (1-4m),MDP,1367.03,784.47,85.13,486.18,11.25,0.75,17141.8,2,success
Set 6: E-S,Delivery (1-4m),Heuristic,1367.03,784.47,85.13,486.18,11.25,0.75,6006.4,2,success
Set 7: E-W,Short Stay (10-40m),MDP_Difference,983.77,506.43,164.95,306.77,5.62,0.875,7330.6,3,success
Set 7: E-W,Short Stay (10-40m),MDP,983.77,506.43,164.95,306.77,5.62,0.875,16980.7,3,success
Set 7: E-W,Short Stay (10-40m),Heuristic,983.77,506.43,164.95,306.77,5.62,0.875,6329.7,3,success
Set 7: E-W,Mid Stay (1-2h),MDP_Difference,821.25,320.95,172.88,321.79,5.62,0.9688,12467.5,5,success
Set 7: E-W,Mid Stay (1-2h),MDP,821.25,320.95,172.88,321.79,5.62,0.9688,17578.4,5,success
Set 7: E-W,Mid Stay (1-2h),Heuristic,821.25,320.95,172.88,321.79,5.62,0.9688,5846.7,5,success
Set 7: E-W,Long Stay - Day (6-10h),MDP_Difference,899.59,402.79,132.34,347.35,17.11,0.9922,17179.6,7,success
Set 7: E-W,Long Stay - Day (6-10h),MDP,922.65,441.6,125.62,339.03,16.41,0.9688,16945.8,5,success
Set 7: E-W,Long Stay - Day (6-10h),Heuristic,932.49,421.59,156.74,334.0,20.16,0.9922,5904.8,7,success
Set 7: E-W,Long Stay - Night (8-12h),MDP_Difference,663.04,249.94,120.49,277.61,15.0,0.9922,17156.5,7,success
Set 7: E-W,Long Stay - Night (8-12h),MDP,732.95,343.67,116.0,258.28,15.0,0.9375,17249.6,4,success
Set 7: E-W,Long Stay - Night (8-12h),Heuristic,683.72,273.32,107.19,291.85,11.37,0.9922,5890.6,7,success
Set 7: E-W,Evening Stay (2-4h),MDP_Difference,836.91,358.46,142.34,317.36,18.75,0.9375,9763.8,4,success
Set 7: E-W,Evening Stay (2-4h),MDP,836.91,358.46,142.34,317.36,18.75,0.9375,17086.8,4,success
Set 7: E-W,Evening Stay (2-4h),Heuristic,836.91,358.46,142.34,317.36,18.75,0.9375,5800.8,4,success
Set 7: E-W,Taxi (5-10m),MDP_Difference,1109.63,730.45,143.43,231.99,3.75,0.75,5757.4,2,success
Set 7: E-W,Taxi (5-10m),MDP,1109.63,730.45,143.43,231.99,3.75,0.75,16864.9,2,success
Set 7: E-W,Taxi (5-10m),Heuristic,1065.25,762.17,85.13,206.69,11.25,0.75,5723.4,2,success
Set 7: E-W,Delivery (1-4m),MDP_Difference,1087.55,784.47,85.13,206.69,11.25,0.75,5787.1,2,success
Set 7: E-W,Delivery (1-4m),MDP,1087.55,784.47,85.13,206.69,11.25,0.75,16847.8,2,success
Set 7: E-W,Delivery (1-4m),Heuristic,1087.55,784.47,85.13,206.69,11.25,0.75,5815.5,2,success
Set 8: E-N,Short Stay (10-40m),MDP_Difference,911.59,506.43,164.95,234.59,5.62,0.875,7106.6,3,success
Set 8: E-N,Short Stay (10-40m),MDP,911.59,506.43,164.95,234.59,5.62,0.875,16918.2,3,success
Set 8: E-N,Short Stay (10-40m),Heuristic,911.59,506.43,164.95,234.59,5.62,0.875,5798.1,3,success
Set 8: E-N,Mid Stay (1-2h),MDP_Difference,743.85,320.95,172.88,244.4,5.62,0.9688,12114.5,5,success
Set 8: E-N,Mid Stay (1-2h),MDP,743.85,320.95,172.88,244.4,5.62,0.9688,16883.0,5,success
Set 8: E-N,Mid Stay (1-2h),Heuristic,743.85,320.95,172.88,244.4,5.62,0.9688,5792.3,5,success
Set 8: E-N,Long Stay - Day (6-10h),MDP_Difference,831.43,350.03,175.34,300.44,5.62,0.9922,17148.3,7,success
Set 8: E-N,Long Stay - Day (6-10h),MDP,831.43,350.03,175.34,300.44,5.62,0.9922,16962.4,7,success
Set 8: E-N,Long Stay - Day (6-10h),Heuristic,835.57,352.41,179.08,297.51,6.56,0.9922,5807.1,7,success
Set 8: E-N,Long Stay - Night (8-12h),MDP_Difference,632.58,273.07,107.51,240.75,11.25,0.9922,17182.9,7,success
Set 8: E-N,Long Stay - Night (8-12h),MDP,642.41,286.25,106.0,238.9,11.25,0.9844,16911.7,6,success
Set 8: E-N,Long Stay - Night (8-12h),Heuristic,632.58,273.07,107.51,240.75,11.25,0.9922,5934.0,7,success
Set 8: E-N,Evening Stay (2-4h),MDP_Difference,773.5,370.63,98.79,292.83,11.25,0.9375,9753.4,4,success
Set 8: E-N,Evening Stay (2-4h),MDP,773.5,370.63,98.79,292.83,11.25,0.9375,16907.1,4,success
Set 8: E-N,Evening Stay (2-4h),Heuristic,773.5,370.63,98.79,292.83,11.25,0.9375,5927.1,4,success
Set 8: E-N,Taxi (5-10m),MDP_Difference,1055.49,730.45,143.43,177.86,3.75,0.75,5825.9,2,success
Set 8: E-N,Taxi (5-10m),MDP,1055.49,730.45,143.43,177.86,3.75,0.75,17090.8,2,success
Set 8: E-N,Taxi (5-10m),Heuristic,1041.76,762.17,85.13,183.2,11.25,0.75,5821.6,2,success
Set 8: E-N,Delivery (1-4m),MDP_Difference,1064.06,784.47,85.13,183.2,11.25,0.75,5855.5,2,success
Set 8: E-N,Delivery (1-4m),MDP,1064.06,784.47,85.13,183.2,11.25,0.75,17088.9,2,success
Set 8: E-N,Delivery (1-4m),Heuristic,1064.06,784.47,85.13,183.2,11.25,0.75,5876.0,2,success
Set 9: S-S,Short Stay (10-40m),MDP_Difference,1489.64,669.66,157.72,654.77,7.5,0.875,7332.8,3,success
Set 9: S-S,Short Stay (10-40m),MDP,1489.64,669.66,157.72,654.77,7.5,0.875,17063.4,3,success
Set 9: S-S,Short Stay (10-40m),Heuristic,1489.64,669.66,157.72,654.77,7.5,0.875,6009.9,3,success
Set 9: S-S,Mid Stay (1-2h),MDP_Difference,1314.5,469.14,167.55,670.3,7.5,0.9688,12338.7,5,success
Set 9: S-S,Mid Stay (1-2h),MDP,1314.5,469.14,167.55,670.3,7.5,0.9688,17178.3,5,success
Set 9: S-S,Mid Stay (1-2h),Heuristic,1314.5,469.14,167.55,670.3,7.5,0.9688,5840.0,5,success
Set 9: S-S,Long Stay - Day (6-10h),MDP_Difference,1539.91,538.78,172.69,820.95,7.5,0.9922,17171.8,7,success
Set 9: S-S,Long Stay - Day (6-10h),MDP,1545.84,552.18,170.5,815.66,7.5,0.9844,17071.7,6,success
Set 9: S-S,Long Stay - Day (6-10h),Heuristic,1539.91,538.78,172.69,820.95,7.5,0.9922,5962.9,7,success
Set 9: S-S,Long Stay - Night (8-12h),MDP_Difference,1150.77,332.07,172.69,638.51,7.5,0.9922,17204.3,7,success
Set 9: S-S,Long Stay - Night (8-12h),MDP,1158.13,345.74,170.5,634.4,7.5,0.9844,17167.0,6,success
Set 9: S-S,Long Stay - Night (8-12h),Heuristic,1150.77,332.07,172.69,638.51,7.5,0.9922,5983.1,7,success
Set 9: S-S,Evening Stay (2-4h),MDP_Difference,1382.68,430.11,163.28,781.78,7.5,0.9375,9951.3,4,success
Set 9: S-S,Evening Stay (2-4h),MDP,1382.68,430.11,163.28,781.78,7.5,0.9375,16965.8,4,success
Set 9: S-S,Evening Stay (2-4h),Heuristic,1382.68,430.11,163.28,781.78,7.5,0.9375,5888.3,4,success
Set 9: S-S,Taxi (5-10m),MDP_Difference,1547.38,887.59,149.63,502.66,7.5,0.75,5919.8,2,success
Set 9: S-S,Taxi (5-10m),MDP,1547.38,887.59,149.63,502.66,7.5,0.75,16969.1,2,success
Set 9: S-S,Taxi (5-10m),Heuristic,1547.38,887.59,149.63,502.66,7.5,0.75,5888.6,2,success
Set 9: S-S,Delivery (1-4m),MDP_Difference,1578.64,918.85,149.63,502.66,7.5,0.75,5971.4,2,success
Set 9: S-S,Delivery (1-4m),MDP,1578.64,918.85,149.63,502.66,7.5,0.75,17057.5,2,success
Set 9: S-S,Delivery (1-4m),Heuristic,1578.64,918.85,149.63,502.66,7.5,0.75,5981.9,2,success
Set 10: S-W,Short Stay (10-40m),MDP_Difference,1208.79,669.66,157.72,373.92,7.5,0.875,7436.8,3,success
Set 10: S-W,Short Stay (10-40m),MDP,1208.79,669.66,157.72,373.92,7.5,0.875,17094.0,3,success
Set 10: S-W,Short Stay (10-40m),Heuristic,1208.79,669.66,157.72,373.92,7.5,0.875,5847.9,3,success
Set 10: S-W,Mid Stay (1-2h),MDP_Difference,1030.26,469.14,167.55,386.06,7.5,0.9688,12240.2,5,success
Set 10: S-W,Mid Stay (1-2h),MDP,1030.26,469.14,167.55,386.06,7.5,0.9688,17093.4,5,success
Set 10: S-W,Mid Stay (1-2h),Heuristic,1030.26,469.14,167.55,386.06,7.5,0.9688,5853.2,5,success
Set 10: S-W,Long Stay - Day (6-10h),MDP_Difference,1137.85,641.05,132.34,347.35,17.11,0.9922,17183.5,7,success
Set 10: S-W,Long Stay - Day (6-10h),MDP,1160.91,679.85,125.62,339.03,16.41,0.9688,17076.2,5,success
Set 10: S-W,Long Stay - Day (6-10h),Heuristic,1170.74,659.84,156.74,334.0,20.16,0.9922,5867.2,7,success
Set 10: S-W,Long Stay - Night (8-12h),MDP_Difference,879.47,332.39,171.47,368.0,7.62,0.9922,17189.8,7,success
Set 10: S-W,Long Stay - Night (8-12h),MDP,889.58,345.74,170.5,365.85,7.5,0.9844,16990.4,6,success
Set 10: S-W,Long Stay - Night (8-12h),Heuristic,828.12,417.72,107.19,291.85,11.37,0.9922,5940.8,7,success
Set 10: S-W,Evening Stay (2-4h),MDP_Difference,981.31,502.86,142.34,317.36,18.75,0.9375,9848.6,4,success
Set 10: S-W,Evening Stay (2-4h),MDP,981.31,502.86,142.34,317.36,18.75,0.9375,16920.3,4,success
Set 10: S-W,Evening Stay (2-4h),Heuristic,981.31,502.86,142.34,317.36,18.75,0.9375,9768.2,4,success
Set 10: S-W,Taxi (5-10m),MDP_Difference,1327.7,887.59,149.63,282.98,7.5,0.75,9069.8,2,success
Set 10: S-W,Taxi (5-10m),MDP,1327.7,887.59,149.63,282.98,7.5,0.75,17911.9,2,success
Set 10: S-W,Taxi (5-10m),Heuristic,1327.7,887.59,149.63,282.98,7.5,0.75,5955.6,2,success
Set 10: S-W,Delivery (1-4m),MDP_Difference,1358.96,918.85,149.63,282.98,7.5,0.75,5887.7,2,success
Set 10: S-W,Delivery (1-4m),MDP,1358.96,918.85,149.63,282.98,7.5,0.75,17528.7,2,success
Set 10: S-W,Delivery (1-4m),Heuristic,1358.96,918.85,149.63,282.98,7.5,0.75,6136.1,2,success
Set 11: S-N,Short Stay (10-40m),MDP_Difference,1126.04,669.66,157.72,291.16,7.5,0.875,7477.8,3,success
Set 11: S-N,Short Stay (10-40m),MDP,1126.04,669.66,157.72,291.16,7.5,0.875,16907.0,3,success
Set 11: S-N,Short Stay (10-40m),Heuristic,1126.04,669.66,157.72,291.16,7.5,0.875,5897.3,3,success
Set 11: S-N,Mid Stay (1-2h),MDP_Difference,941.03,469.14,167.55,296.83,7.5,0.9688,12341.6,5,success
Set 11: S-N,Mid Stay (1-2h),MDP,941.03,469.14,167.55,296.83,7.5,0.9688,17348.9,5,success
Set 11: S-N,Mid Stay (1-2h),Heuristic,941.03,469.14,167.55,296.83,7.5,0.9688,6785.7,5,success
Set 11: S-N,Long Stay - Day (6-10h),MDP_Difference,1082.43,539.57,172.0,363.35,7.5,0.9922,17524.7,7,success
Set 11: S-N,Long Stay - Day (6-10h),MDP,1091.15,552.18,170.5,360.97,7.5,0.9844,16927.5,6,success
Set 11: S-N,Long Stay - Day (6-10h),Heuristic,1081.81,539.3,171.47,363.43,7.62,0.9922,6007.3,7,success
Set 11: S-N,Long Stay - Night (8-12h),MDP_Difference,794.67,332.55,172.0,282.61,7.5,0.9922,17607.1,7,success
Set 11: S-N,Long Stay - Night (8-12h),MDP,804.49,345.74,170.5,280.76,7.5,0.9844,16994.6,6,success
Set 11: S-N,Long Stay - Night (8-12h),Heuristic,794.14,332.39,171.47,282.66,7.62,0.9922,5898.1,7,success
Set 11: S-N,Evening Stay (2-4h),MDP_Difference,947.55,430.11,163.28,346.65,7.5,0.9375,9820.1,4,success
